month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-09-01,Dh,"Dh. (Dhaalu)",Guesthouse,1010.46
2019-09-01,F,"F. (Faafu)",Guesthouse,18994.80
2019-09-01,GA,"GA. (Gaafu Alif)",Resorts,1156715.10
2019-09-01,GA,"GA. (Gaafu Alif)",Hotels,261379.80
2019-09-01,GA,"GA. (Gaafu Alif)",Guesthouse,4006.35
2019-09-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1680357.00
2019-09-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,644.28
2019-09-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,11287.26
2019-09-01,HA,"HA. (Haa Alif)",Resorts,1174655.58
2019-09-01,HA,"HA. (Haa Alif)",Guesthouse,8012.70
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Resorts,122677.20
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Hotels,247472.70
2019-09-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,967.05
2019-09-01,K,"K. (Kaafu)",Resorts,23697244.56
2019-09-01,K,"K. (Kaafu)",Hotels,174253.20
2019-09-01,K,"K. (Kaafu)",Guesthouse,878915.26
2019-09-01,L,"L. (Laamu)",Resorts,526401.54
2019-09-01,L,"L. (Laamu)",Guesthouse,2986.77
2019-09-01,Lh,"Lh. (Lhaviyani)",Resorts,5710395.18
2019-09-01,Lh,"Lh. (Lhaviyani)",Guesthouse,367.68
2019-09-01,M,"M. (Meemu)",Guesthouse,1657.80
2019-09-01,Male,"Malé City",Hotels,598742.10
2019-09-01,Male,"Malé City",Guesthouse,740032.21
2019-09-01,N,"N. (Noonu)",Resorts,3928838.58
2019-09-01,N,"N. (Noonu)",Guesthouse,3584.88
2019-09-01,R,"R. (Raa)",Resorts,4407698.28
2019-09-01,S,"S. (Addu)",Resorts,767586.06
2019-09-01,S,"S. (Addu)",Hotels,78745.50
2019-09-01,S,"S. (Addu)",Guesthouse,8931.15
2019-09-01,Sh,"Sh. (Shaviyani)",Resorts,329257.50
2019-09-01,Th,"Th. (Thaa)",Resorts,166408.32
2019-09-01,Th,"Th. (Thaa)",Guesthouse,2025.66
2019-09-01,V,"V. (Vaavu)",Resorts,922473.60
2019-09-01,V,"V. (Vaavu)",Guesthouse,124222.08
2019-10-01,AA,"AA. (Alif Alif)",Resorts,4356457.26
2019-10-01,AA,"AA. (Alif Alif)",Guesthouse,115316.28
2019-10-01,ADh,"ADh. (Alif Dhaal)",Resorts,4634847.81
2019-10-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,110535.69
2019-10-01,B,"B. (Baa)",Resorts,2860544.76
2019-10-01,B,"B. (Baa)",Hotels,169997.88
2019-10-01,B,"B. (Baa)",Guesthouse,117391.95
2019-10-01,Dh,"Dh. (Dhaalu)",Resorts,4276158.36
2019-10-01,F,"F. (Faafu)",Guesthouse,33753.00
2019-10-01,GA,"GA. (Gaafu Alif)",Resorts,696075.00
2019-10-01,GA,"GA. (Gaafu Alif)",Hotels,202488.00
2019-10-01,GA,"GA. (Gaafu Alif)",Guesthouse,1012.44
2019-10-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1080918.12
2019-10-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,19383.51
2019-10-01,HA,"HA. (Haa Alif)",Resorts,747715.26
2019-10-01,HA,"HA. (Haa Alif)",Guesthouse,6169.86
2019-10-01,HDh,"HDh. (Haa Dhaalu)",Resorts,224983.08
2019-10-01,HDh,"HDh. (Haa Dhaalu)",Hotels,176324.64
2019-10-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,690.75
2019-10-01,K,"K. (Kaafu)",Resorts,18371016.12
2019-10-01,K,"K. (Kaafu)",Hotels,162818.76
2019-10-01,K,"K. (Kaafu)",Guesthouse,568168.58
2019-10-01,L,"L. (Laamu)",Resorts,337950.72
2019-10-01,L,"L. (Laamu)",Guesthouse,2351.01
2019-10-01,Lh,"Lh. (Lhaviyani)",Resorts,3978819.18
